Project,Disection Date,Name,Fish Species,Fish ID,Stomach ID ,Site,Collection Date,Prey Common Name,Prey Wet Weight (g),Prey,# Prey ,Prey Conditions (1-5),Notes
BOEM,45952,Sam P,Pinfish,PIN316,PIN316gc,EO1,45894,mush ,<0.1,unidentifiable mush ,-,1,
BOEM,45952,Sam P,Pinfish,PIN319,PIN319gc1,EO1,45894,shell + sand ,<0.1,molusca,1,1,"if shell (cant tell by photo), needs to be seperated and weighed as a mollusc"
BOEM,45952,Sam P,Pinfish,PIN319,PIN319gc2,EO1,45894,shell + sand ,0.4,detritus,-,,
BOEM,45952,Gracie ,Pinfish,PIN320,PIN320gc,EO1,45894,shrimp+mush ,0.3,biomatter,-,4,
BOEM,45952,Sam P,Pinfish,PIN321,PIN321gc1,EO1,45894,worm + shrimp,<0.1,biomatter,,2,
BOEM,45952,Sam P,Pinfish,PIN321,PIN321gc2,EO1,45894,worm + shrimp,<0.1,echinoderm ,1,,
BOEM,45952,Sam P,Pinfish,PIN322,PIN322gc1,EO1,45894,shrimp+mush ,0.2,crustacean,3,3,
BOEM,45952,Sam P,Pinfish,PIN322,PIN322gc2,EO1,45894,shrimp+mush ,<0.1,veg_biomatter,-,,
BOEM,45952,Sam P,Pinfish,PIN322,PIN322gc3,EO1,45894,shrimp+mush ,<0.1,biomatter,-,,
BOEM,45955,Dalton,Pinfish,PIN323,PIN323gc,EI2,45894,shells,0.1,mollusca,3,4,
BOEM,45955,Dalton,Pinfish,PIN324,PIN324gc,EI2,45894,shrimp larvae?,<0.1,,-,2,no pic found
BOEM,45955,Dalton,Pinfish,PIN326,PIN326gc1,EI2,45894,biomatter,0.2,biomatter,-,4,
BOEM,45955,Dalton,Pinfish,PIN326,PIN326gc2,EI3,45895,mollusca,<0.1,molusca,2,2,
BOEM,45955,Dalton,Pinfish,PIN327,PIN327gc,EI2,45894,shells,<0.1,biomatter,-,2,no pic found
BOEM,45955,Dalton,Pinfish,PIN329,PIN329gc,EI2,45894,mush/shell,<0.1,,-,1,no pic found 
BOEM,45957,Sam P,Spot,SPO227,SPO227gc,WI1,45895,shrimp/mush,<0.1,biomatter,-,1,
BOEM,45957,Sam P,Spot,SPO228,SPO228gc,WI1,45895,shrimp/mush,<0.1,biomatter,-,2,
BOEM,45957,Sam P,Spot,SPO233,SPO233gc,WI1,45895,sand/eggs,<0.1,detritus ,-,1,
BOEM,45957,Sam P,Spot,SPO234,SPO234gc,WI1,45895,sand/eggs,<0.1,biomatter,-,1,
BOEM,45959,Sam P,Pinfish,PIN330,PIN330gc1,EI2,45894,shrimp/shells,<0.1,mollusca,3,2,
BOEM,45959,Sam P,Pinfish,PIN330,PIN330gc2,EI2,45894,shrimp/shells,<0.1,crustacean,4,2,
BOEM,45959,Sam P,Pinfish,PIN330,PIN330gc3,EI2,45894,shrimp/shells,<0.1,veg_biomatter,-,,
BOEM,45959,Sam P,Pinfish,PIN330,PIN330gc4,EI2,45894,shrimp/shells,<0.1,biomatter,-,,
BOEM,45959,Sam P,Pinfish,PIN331,PIN331gc,EI2,45894,squid?/shells,0.6,biomatter,-,3,
BOEM,45959,Sam P,Pinfish,PIN332,PIN332gc,EI2,45894,shells,0.1,biomatter,-,4,mush
BOEM,45959,Sam P,Pinfish,PIN333,PIN333gc,WI1,45895,shrimp/mush,<0.1,unidentifiable mush,-,1,vegetation 
BOEM,45959,Sam P,Pinfish,PIN334,PIN334gc,EI1,45894,shrimp?,<0.1,unidentifiable mush,-,1,mush
BOEM,45959,Sam P,Pinfish,PIN335,PIN335gc1,EI1,45894,shell/fish?,<0.1,biomatter,-,3,"cant tell whats going on here, is this mostly detritus or biomatter? "
BOEM,45959,Sam P,Pinfish,PIN335,PIN335gc2,EI1,45894,split,<0.1,crustacean,2,,
BOEM,45959,Sam P,Pinfish,PIN335,PIN335gc3,EI1,45894,split,<0.1,molusca,-,,
BOEM,45959,Sam P,Pinfish,PIN335,PIN335gc4,EI1,45894,split,<0.1,veg_biomatter,-,,
BOEM,45959,Sam P,Pinfish,PIN337,PIN337gc,EI1,45894,shell,<0.1,biomatter,1,3,
BOEM,45961,Dalton,Pinfish,PIN339,PIN339gc,EI1,45894,shells/mush,<0.1,detritus ,-,2,
BOEM,45961,Dalton,Pinfish,PIN342,PIN342gc1,EI1,45894,biomatter,<0.1,biomatter,-,1,
BOEM,45962,Dalton,Pinfish,PIN343,PIN342gc2,EI2,45895,shells,<0.1,mollusca ,1,4,
BOEM,45961,Dalton,Pinfish,PIN344,PIN344gc,WO2,45895,sand/mush,0.4,detritus ,-,1,
BOEM,45961,Dalton,Pinfish,PIN345,PIN345gc,WO2,45895,sand/mush,<0.1,detritus ,-,1,
BOEM,45961,Dalton,Pinfish,PIN346,PIN346gc,WO2,45895,mush,<0.1,unidentifiable mush ,-,1,
BOEM,45964,Sam P,Pinfish,PIN347,PIN347gc,WO2,45895,eggs,0.3,biomatter,>50,4,mush
BOEM,45964,Sam P,Pinfish,PIN348,PIN348gc,WO2,45895,eggs,0.3,biomatter,>50,4,mush
BOEM,45964,Sam P,Pinfish,PIN349,PIN349gc,WO2,45895,eggs,0.1,biomatter,>50,4,mush
BOEM,45964,Sam P,Pinfish,PIN350,PIN350gc,WO2,45895,fish bone?,0.1,biomatter,-,2,
BOEM,45964,Sam P,Pinfish,PIN351,PIN351gc,WO2,45895,eggs/sand,0.5,biomatter,>50,4,mush 
BOEM,45964,Sam P,Pinfish,PIN352,PIN352gc,WO2,45895,eggs,0.1,biomatter,>50,4,mush
BOEM,45964,Sam P,Pinfish,PIN354,PIN354gc1,WO2,45895,eggs/sand,<0.1,detritus,-,4,mush
BOEM,45964,Sam P,Pinfish,PIN354,PIN354gc2,WO2,45895,eggs/sand,<0.1,mollusca,1,,
BOEM,45964,Sam P,Pinfish,PIN355,PIN355gc,WO1,45895,shrimp,0.5,crustacean ,>20,3,
BOEM,45964,Sam P,Pinfish,PIN356,PIN356gc1,WO1,45895,shrimp,<0.1,crustacean,>10,3,no pic found 
BOEM,45964,Sam P,Pinfish,PIN356,PIN356gc2,WO1,45895,shrimp,<0.1,biomatter,-,3,no pic found 
BOEM,45966,Sam P,Pinfish,PIN357,PIN357gc1,WO1,45895,shrimp,<0.1,crustacean,>10,2,mush
BOEM,45966,Sam P,Pinfish,PIN357,PIN357gc2,WO1,45895,shrimp,<0.1,veg_biomatter,-,,
