project,dissection_date,dissector,fish_species,fish_id,stomach_id,site,collection_date,prey_common_name,prey_wet_weight,prey_category,n_prey,prey_condition,notes,stomach_id_base,prey_wet_weight_g,prey_category_clean,has_weight,region,position,station
BOEM,45770,Lindsey,Striped Anchovy,STA161,STA161gc,EO3,45224,mush,<0.1,unidentifiable mush,-,1,,STA161gc,0.05,unidentifiable mush,TRUE,East,Outer,3
BOEM,45770,Dannette,Striped Anchovy,STA162,STA162gc,EO3,45224,mush,<0.1,unidentifiable mush,-,1,,STA162gc,0.05,unidentifiable mush,TRUE,East,Outer,3
BOEM,45770,Dannette,Striped Anchovy,STA163,STA163gc,EO3,45224,mush,<0.1,unidentifiable mush,-,1,,STA163gc,0.05,unidentifiable mush,TRUE,East,Outer,3
BOEM,45770,Lindsey,Striped Anchovy,STA164,STA164gc,EO3,45224,mush,<0.1,unidentifiable mush,-,1,,STA164gc,0.05,unidentifiable mush,TRUE,East,Outer,3
BOEM,45770,Dannette,Striped Anchovy,STA165,STA165gc,EO3,45224,mush,<0.1,unidentifiable mush,-,1,,STA165gc,0.05,unidentifiable mush,TRUE,East,Outer,3
BOEM,45770,Lindsey,Pinfish,PIN151,PIN151gc,EO3,45224,mush,0.2,unidentifiable mush,-,1,,PIN151gc,0.2,unidentifiable mush,TRUE,East,Outer,3
BOEM,45770,Lindsey,Pinfish,PIN152,PIn152gc,EO3,45224,mush,<0.1,unidentifiable mush,-,1,,PIn152gc,0.05,unidentifiable mush,TRUE,East,Outer,3
BOEM,45775,Cole,Pinfish,PIN154,PIN154gc,EO3,45224,mush,0.2,unidentifiable mush,-,1,,PIN154gc,0.2,unidentifiable mush,TRUE,East,Outer,3
BOEM,45775,Cole,Pinfish,PIN155,PIN155gc,EO3,45224,biomatter,0.3,biomatter,-,1,"fish?,",PIN155gc,0.3,biomatter,TRUE,East,Outer,3
BOEM,45775,Dannette,Pinfish,PIN157,PIN157gc,EO3,45224,biomatter,0.2,biomatter,-,1,fissh?,PIN157gc,0.2,biomatter,TRUE,East,Outer,3
BOEM,45775,Dannette,Pinfish,PIN158,PIN158gc,EO3,45224,biomatter,0.1,biomatter,-,1,fish? ,PIN158gc,0.1,biomatter,TRUE,East,Outer,3
BOEM,45775,Dannette,Pinfish,PIN159,PIN159gc,EO3,45224,biomatter,0.2,biomatter,-,1,fish? ,PIN159gc,0.2,biomatter,TRUE,East,Outer,3
BOEM,45775,Dannette,Pinfish,PIN160,PIN160gc,EO3,45224,mush,0.6,biomatter,-,1,vegitation ,PIN160gc,0.6,biomatter,TRUE,East,Outer,3
BOEM,45775,Dannette,Pinfish,PIN161,PIN161gc,EO3,45224,mush,0.2,unidentifiable mush,-,1,,PIN161gc,0.2,unidentifiable mush,TRUE,East,Outer,3
BOEM,45779,Cole,Spot,SPO083,SPO083gc,EO3,45224,hard detritus/biomatter?,<0.1,biomatter,-,2,,SPO083gc,0.05,biomatter,TRUE,East,Outer,3
BOEM,45779,Cole,Spot,SPO086,SPO086gc,EO3,45224,detritus,<0.1,detritus,-,1,,SPO086gc,0.05,detritus,TRUE,East,Outer,3
BOEM,45779,Sam,Spot,SPO087,SPO087gc,EO3,45224,biomatter?,<0.1,biomatter,?,1,,SPO087gc,0.05,biomatter,TRUE,East,Outer,3
BOEM,45779,Cole,Spot,SPO088,SPO088gc,EO3,45224,clam,<0.1,mollusca,1,3,,SPO088gc,0.05,mollusca,TRUE,East,Outer,3
BOEM,45779,Cole,Spot,SPO089,SPO089gc,EO3,45224,shrimp/biomatter,<0.1,biomatter,1,3,,SPO089gc,0.05,biomatter,TRUE,East,Outer,3
BOEM,45789,Dannette,Atlantic Bumper,ATB027,ATB027gc,EI3,45224,larvae,0.6,crustacean,-,3,,ATB027gc,0.6,crustacean,TRUE,East,Inner,3
BOEM,45789,Dannette,Atlantic Bumper,ATB028,ATB028gc,EI3,45224,biomatter,0.5,biomatter,-,2,,ATB028gc,0.5,biomatter,TRUE,East,Inner,3
BOEM,45789,Cole,Atlantic Bumper,ATB029,ATB029gc,EI3,45224,shrimp larvae,0.4,crustacean,-,3,,ATB029gc,0.4,crustacean,TRUE,East,Inner,3
BOEM,45789,Dannette,Atlantic Bumper,ATB030,ATB030gc,EI3,45224,mush,<0.1,unidentifiable mush,-,1,,ATB030gc,0.05,unidentifiable mush,TRUE,East,Inner,3
BOEM,45789,Dannette,Atlantic Bumper,ATB031,ATB031gc,EI3,45224,larvae,0.2,biomatter,-,2,,ATB031gc,0.2,biomatter,TRUE,East,Inner,3
BOEM,45789,Dannette,Thread Herring,THH074,THH074gc,EI3,45224,mush,<0.1,unidentifiable mush,-,1,,THH074gc,0.05,unidentifiable mush,TRUE,East,Inner,3
BOEM,45789,Dannette,Thread Herring,THH075,THH075gc,EI3,45224,mush,<0.1,unidentifiable mush,-,1,,THH075gc,0.05,unidentifiable mush,TRUE,East,Inner,3
BOEM,45789,Cole,Thread Herring,THH076,THH076gc,EI3,45224,mush,0.2,unidentifiable mush,-,1,,THH076gc,0.2,unidentifiable mush,TRUE,East,Inner,3
BOEM,45789,Dannette,Thread Herring,THH077,THH077gc,EI3,45224,mush,<0.1,unidentifiable mush,-,1,,THH077gc,0.05,unidentifiable mush,TRUE,East,Inner,3
